id,fecha,produccion(Wh)
20,01/07/2020,15327.757
20,02/07/2020,17146.092
25,01/07/2020,12453
25,02/07/2020,13394
1,06/07/2020,31621.725
1,07/07/2020,37329.293
2,06/07/2020,24516
2,07/07/2020,26328
3,06/07/2020,27681
3,07/07/2020,30338
6,06/07/2020,11506
6,07/07/2020,11846
7,06/07/2020,13023
7,07/07/2020,13408
11,06/07/2020,18838.014
11,07/07/2020,19065.574
12,06/07/2020,25769
12,07/07/2020,31436
13,06/07/2020,29784
13,07/07/2020,37324
14,06/07/2020,8674.396
14,07/07/2020,15104.944
15,06/07/2020,23472.32
15,07/07/2020,25197.688
16,06/07/2020,10143.67
16,07/07/2020,10693.775
19,06/07/2020,9713.359
19,07/07/2020,12512.134
20,06/07/2020,12680.519
20,07/07/2020,15031.263
25,06/07/2020,8416
25,07/07/2020,13935
1,11/07/2020,23407.344
1,12/07/2020,39299.316
1,13/07/2020,40440.04
1,14/07/2020,37012.18
1,15/07/2020,39024.383
1,16/07/2020,38119.11
2,08/07/2020,22063
2,09/07/2020,21822
2,10/07/2020,33847
2,11/07/2020,18987
2,12/07/2020,30605
2,13/07/2020,34873
2,14/07/2020,31727
2,15/07/2020,29874
2,16/07/2020,32901
3,08/07/2020,27385
3,09/07/2020,23812
3,10/07/2020,37049
3,11/07/2020,22090
3,12/07/2020,34753
3,13/07/2020,36199
3,14/07/2020,34548
3,15/07/2020,33327
3,16/07/2020,35686
6,08/07/2020,6359
6,09/07/2020,7849
6,10/07/2020,13016
6,11/07/2020,7338
6,12/07/2020,8981
6,13/07/2020,12862
6,14/07/2020,11267
6,15/07/2020,13006
6,16/07/2020,12895
7,08/07/2020,10628
7,09/07/2020,11075
7,10/07/2020,17445
7,11/07/2020,9550
7,12/07/2020,16465
7,13/07/2020,17756
7,14/07/2020,16604
7,15/07/2020,16016
7,16/07/2020,16879
11,08/07/2020,15234.232
11,09/07/2020,17135.584
11,10/07/2020,24969.89
11,11/07/2020,14311.689
11,12/07/2020,23836.852
11,13/07/2020,25636.832
11,14/07/2020,24003.541
11,15/07/2020,22531.844
11,16/07/2020,24406.75
12,08/07/2020,24193
12,09/07/2020,21985
12,10/07/2020,33649
12,11/07/2020,21258
12,12/07/2020,35376
12,13/07/2020,36297
12,14/07/2020,33546
12,15/07/2020,33478
12,16/07/2020,36337
13,08/07/2020,30394
13,09/07/2020,27635
13,10/07/2020,47428
13,11/07/2020,25848
13,12/07/2020,41798
13,13/07/2020,47315
13,14/07/2020,45277
13,15/07/2020,40406
13,16/07/2020,48129
14,08/07/2020,9654.834
14,09/07/2020,11244.431
14,10/07/2020,16582.146
14,11/07/2020,9237.231
14,12/07/2020,16051.327
14,13/07/2020,7159.3394
14,14/07/2020,14186.095
14,15/07/2020,8704.519
14,16/07/2020,14816.481
15,08/07/2020,22771.53
15,09/07/2020,19262.572
15,10/07/2020,30029.318
15,11/07/2020,17956.92
15,12/07/2020,29289.443
15,13/07/2020,29518.889
15,14/07/2020,29345.477
15,15/07/2020,29934.822
15,16/07/2020,31593.967
16,08/07/2020,8473.075
16,09/07/2020,10143.35
16,10/07/2020,14716.206
16,11/07/2020,8001.427
16,12/07/2020,13402.757
16,13/07/2020,15079.719
16,14/07/2020,13974.977
16,15/07/2020,13666.936
16,16/07/2020,13909.895
19,08/07/2020,10544.4
19,09/07/2020,9393.938
19,10/07/2020,15762.432
19,11/07/2020,8345.456
19,12/07/2020,15074.936
